id;nome;bairro;tipo;endereco;cep;latitude;longitude;risco_inundacao;risco_deslizamento;classe_suscetibilidade_inundacao;distancia_deslizamento_m;nivel_risco;servicos;horario
u001;HOFE SEG SAO VICENTE;Beira Mar;Apoio Diagnóstico e Terapia;"FREI GASPAR, 2587";11340000;-23.957548;-46.402516;sim;nao;Média;1901;Médio;Serviço de Apoio (SADT);Manhã e tarde
u002;CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES SV;Boa Vista;Clínica Especializada;"ONZE DE JUNHO, 291";11320160;-23.971685;-46.372754;sim;nao;Baixa;484.6;Baixo;Serviço de Apoio (SADT);Manhã e tarde
u003;CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES II SV;Boa Vista;Clínica Especializada;"RANGEL PESTANA, 209";11320120;-23.96946;-46.372218;sim;sim;Baixa;232.5;Alto;Serviço de Apoio (SADT);Manhã e tarde
u004;IACS PRESIDENTE WILSON SAO VICENTE;Boa Vista;Apoio Diagnóstico e Terapia;"AVENIDA PRESIDENTE WILSON, 456";11320001;-23.967739;-46.348186;nao;nao;;1530.1;Baixo;Serviço de Apoio (SADT);Manhã e tarde
u005;EVOLUIR CLINICA NEURODESENVOLVIMENTO 2 SV;Boa Vista;Clínica Especializada;"RANGEL PESTANA, 209";11320120;-23.970715;-46.37308;sim;nao;Baixa;385.8;Baixo;Atendimento geral;Manhã e tarde
u006;ESF SA CATARINA SAO VICENTE;Catiapoã;UBS;"RUA TRAVESSA DO PARQUE, S/N";11365330;-23.957364;-46.393161;sim;nao;Alta;1444.4;Alto;Serviço de Apoio (SADT);Manhã e tarde
u007;UNIDADE BASICA DE SAUDE CATIAPOA SAO VICENTE;Catiapoã;UBS;"AV PERSIO DE QUEIROZ FILHO, S/N";11370300;-23.956717;-46.387331;sim;nao;Média;1489.7;Médio;Serviço de Apoio (SADT);Manhã e tarde
u008;APAE SAO VICENTE;Catiapoã;Clínica Especializada;"RUA FELICIANO MARCONDES DA SILVA, 205";11390220;-23.96242;-46.382;sim;nao;Média;1141.3;Médio;Serviço de Apoio (SADT);Manhã e tarde
u009;EDUARDO PALMIERI;Catiapoã;Consultório Isolado;"AV MARTINS FONTES, 480";11390200;-23.960685;-46.406714;sim;nao;Média;2017.9;Médio;Serviço de Apoio (SADT);Manhã e tarde
u010;CONSULTORIO ODONTOLOGICO MARILENE J ALVES SAO VICENTE;Catiapoã;Consultório Isolado;"RUA SALVADOR MALAQUIAS LEAL, 88";11390360;-23.956442;-46.386082;sim;nao;Alta;1544.6;Alto;Serviço de Apoio (SADT);Manhã e tarde
u011;RADICOM SAO VICENTE;Centro;Apoio Diagnóstico e Terapia;"PADRE ANCHIETA, 224";11310040;-23.968215;-46.384985;sim;nao;Baixa;510.4;Baixo;Serviço de Apoio (SADT);Manhã e tarde
u012;CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE;Centro;UBS;"RUA JOAO RAMALHO, 1150";11310050;-23.963294;-46.387726;sim;nao;Alta;764.9;Alto;Serviço de Apoio (SADT);Manhã e tarde
u013;CLINICA MULT IMAGEM SAO VICENTE;Centro;Apoio Diagnóstico e Terapia;"RUA FREI GASPAR, 790";11310061;-23.964822;-46.386613;sim;nao;Alta;647.5;Alto;Serviço de Apoio (SADT);Manhã e tarde
u014;LEANDRO DE LIMA GIACCHERI SAO VICENTE;Centro;Consultório Isolado;"RUA JACOB EMERICK, 365";11310071;-23.967809;-46.385047;sim;nao;Baixa;523.4;Baixo;Serviço de Apoio (SADT);Manhã e tarde
u015;ALCYR NOGUEIRA LIMA SAO VICENTE;Centro;Consultório Isolado;"RUA FREI GASPAR, 931";11310061;-23.964591;-46.388623;sim;nao;Alta;604.5;Alto;Serviço de Apoio (SADT);Manhã e tarde
u016;RMIC IMAGENS DE DIAGNOSTICOS SAO VICENTE;Centro;Apoio Diagnóstico e Terapia;"RUA FREI GASPAR, 637";11310060;-23.966127;-46.385701;sim;nao;Média;583.4;Médio;Serviço de Apoio (SADT);Manhã e tarde
u017;CONSULTORIO DRA RENATA GUELLI SAO VICENTE;Centro;Consultório Isolado;"RUA XV DE NOVEMBRO, 576";11310400;-23.963755;-46.385414;sim;nao;Alta;811.3;Alto;Serviço de Apoio (SADT);Manhã e tarde
u018;CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE;Centro;Central de Abastecimento Farmacêutico;"RUA PADRE ANCHIETA, 462";11310040;-23.966523;-46.383891;sim;nao;Média;697;Médio;Abastecimento e logística farmacêutica;Manhã e tarde
u019;FARMACIA PAGUE MENOS SAO VICENTE;Centro;Farmácia;"AV PRESIDENTE WILSON, 706";11320000;-23.968245;-46.375403;sim;nao;Baixa;353.5;Baixo;Serviço de Apoio (SADT);"Manhã, tarde e noite"
u020;MONICA BATALHA PRADO SAO VICENTE;Centro;Consultório Isolado;"AV PRESIDENTE WILSON, 1473";11320000;-23.965281;-46.382123;sim;nao;Média;923.1;Médio;Serviço de Apoio (SADT);"Manhã, tarde e noite"
u021;TOXICOLOGICO SAO VICENTE;Centro;Apoio Diagnóstico e Terapia;"BARAO DO RIO BRANCO, 94";11310000;-23.96644;-46.386095;sim;nao;Média;530.7;Médio;Exames de apoio diagnóstico;Manhã e tarde
u022;MAXI EXAMES;Centro;Consultório Isolado;"R JACOB EMERICK, 365";11310070;-23.967176;-46.385877;sim;nao;Média;490.8;Médio;Atendimento em consultório especializado;Manhã e tarde
u023;TAMARA MACHADO FRACALANZA BOCCATELLI;Centro;Consultório Isolado;"AVENIDA QUINTINO BOCAIUVA, 405";11320010;-23.967568;-46.384685;sim;nao;Média;568.4;Médio;Atendimento em consultório especializado;Manhã e tarde
u024;INSTITUTO ORTOPEDICO ITARARE SAO VICENTE;Centro;Clínica Especializada;"AV PRESIDENTE WILSON, 1340";11320920;-23.965492;-46.380825;sim;nao;Alta;915.1;Alto;Serviço de Apoio (SADT);Manhã e tarde
u025;SERVICO DE PERICIAS MEDICAS SAO VICENTE;Centro;Consultório Isolado;"RUA FREI GASPAR, 637";11310010;-23.966083;-46.38569;sim;nao;Média;587.7;Médio;Serviço de Apoio (SADT);Manhã e tarde
u026;CTA BETINHO SAO VICENTE;Centro;Clínica Especializada;"AV QUINTINO BOCAIUVA, 1261";11320010;-23.967086;-46.387824;sim;nao;Alta;367.6;Alto;Serviço de Apoio (SADT);Manhã e tarde
u027;SECRETARIA DE SAUDE DE SAO VICENTE;Centro;Secretaria de Saúde;"RUA PADRE ANCHIETA, 462";11310040;-23.966264;-46.383546;sim;nao;Média;742.1;Médio;Gestão e administração da rede de saúde;Manhã e tarde
u028;COMPLEXO DE ESPECIALIDADES MEDICAS SAO VICENTE;Centro;Policlínica;"RUA XV DE NOVEMBRO, 176";11310400;-23.967048;-46.386938;sim;nao;Alta;423.2;Alto;Serviço de Apoio (SADT);Manhã e tarde
u029;LABORATORIO DR SERGIO TAVOLARO PEREIRA SAO VICENTE;Centro;Apoio Diagnóstico e Terapia;"RUA JOAO RAMALHO, 825";11310050;-23.96495;-46.385529;sim;nao;Média;695;Médio;Serviço de Apoio (SADT);"Manhã, tarde e noite"
u030;SAO PEDRO ANALISES CLINICAS SAO VICENTE;Centro;Apoio Diagnóstico e Terapia;"RUA IPIRANGA, 4";11310420;;;sem_dado;sem_dado;;;;Serviço de Apoio (SADT);Somente à tarde
u031;INSTITUTO OFTALMOLOGICO ACCIOLY DE GUSMAO SAO VICENTE;Centro;Hospital-Dia;"RUA AMADOR BUENO DA RIBEIRA, 68";11320060;-23.966794;-46.377159;sim;nao;Média;522.4;Médio;Serviço de Apoio (SADT);Manhã e tarde
u032;CLINICA PADRE ANCHIETA SAO VICENTE;Centro;Hospital-Dia;"AV PRESIDENTE WILSON, 1136";11320000;-23.965742;-46.379113;sim;nao;Média;739.5;Médio;"Atendimento Hospitalar, Serviço de Apoio (SADT), Atendimento Ambulatorial";Manhã e tarde
