 ,CO_UNIDADE,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,TP_GESTAO,DS_ESFERA_ADMINISTRATIVA,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_LATITUDE,LAT_FORMATADA,NU_LONGITUDE,LONG_FORMATADA,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS
8152837,3551008152837,355100,,HOFE SEG LTDA,HOFE SEG SAO VICENTE,,M,MUNICIPAL,39,11340000,FREI GASPAR,2587,BEIRA MAR,"-239,575,481,911",-23.957548,"-464,025,163,651",-46.402516,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,63067427000127,2062,0,0,0,0,1,0,,NAO
2813971,3551002813971,355100,,CENTRO NEUROLOGICO MATHEUS ALVARES LTDA,CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES SV,,M,MUNICIPAL,36,11320160,ONZE DE JUNHO,291,BOA VISTA,"-239,716,855,194",-23.971685,"-463,727,545,738",-46.372754,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,33171548000153,2062,0,0,0,0,1,0,,NAO
4073355,3551004073355,355100,,CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES LTDA,CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES II SV,,M,MUNICIPAL,36,11320120,RANGEL PESTANA,209,BOA VISTA,"-239,694,601,205",-23.969460,"-46,372,218,132",-46.372218,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,42782183000275,2062,0,0,0,0,1,0,10,NAO
6190375,3551006190375,355100,,INSTITUTO DE ANALISES CLINICAS DE SANTOS S A,IACS PRESIDENTE WILSON SAO VICENTE,,M,MUNICIPAL,39,11320001,AVENIDA PRESIDENTE WILSON,456,BOA VISTA,"-239,677,395",-23.967739,"-463,481,869",-46.348186,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,44974822000220,2054,0,0,0,0,1,0,,NAO
8118280,3551008118280,355100,,EVOLUIR CLINICA NEURODESENVOLVIMENTO LTDA,EVOLUIR CLINICA NEURODESENVOLVIMENTO 2 SV,,M,MUNICIPAL,36,11320120,RANGEL PESTANA,209,BOA VISTA,"-239,707,155",-23.970715,"-463,730,805",-46.373080,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,63337309000272,2062,0,0,0,0,0,0,,NAO
422746,3551000422746,355100,46177523000109,MUNICIPIO DE SAO VICENTE,ESF SA CATARINA SAO VICENTE,,M,MUNICIPAL,2,11365330,RUA TRAVESSA DO PARQUE,S/N,CATIAPOA,"-23,957,364",-23.957364,"-46,393,161",-46.393161,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,1244,0,0,0,0,1,0,,SIM
2040492,3551002040492,355100,46177523000109,MUNICIPIO DE SAO VICENTE,UNIDADE BASICA DE SAUDE CATIAPOA SAO VICENTE,,M,MUNICIPAL,2,11370300,AV PERSIO DE QUEIROZ FILHO,S/N,CATIAPOA,"-239,567,176,184",-23.956717,"-463,873,311,661",-46.387331,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,1244,0,0,0,0,1,0,,SIM
5598788,3551005598788,355100,,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SAO VICENTE,APAE SAO VICENTE,,M,MUNICIPAL,36,11390220,RUA FELICIANO MARCONDES DA SILVA,205,CATIAPOA,"-239,624,203",-23.962420,"-463,820,005",-46.382000,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,57730087000170,3999,0,0,0,0,1,0,,SIM
6110053,3551006110053,355100,,EDUARDO PALMIERI,EDUARDO PALMIERI,,M,MUNICIPAL,22,11390200,AV MARTINS FONTES,480,CATIAPOA,"-239,606,852",-23.960685,"-464,067,146",-46.406714,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,4000,0,0,0,0,1,0,,NAO
9465669,3551009465669,355100,,MARILENE JUSTINO ALVES,CONSULTORIO ODONTOLOGICO MARILENE J ALVES SAO VICENTE,,M,MUNICIPAL,22,11390360,RUA SALVADOR MALAQUIAS LEAL,88,CATIAPOA,"-239,564,426",-23.956442,"-463,860,826",-46.386082,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,4000,0,0,0,0,1,0,,NAO
