Nome da Unidade,Bairro,Endereço,CEP,Latitude,Longitude,Em área de inundação?,Classe de suscetibilidade,Distância até deslizamento mais próximo (m),Ponto de deslizamento mais próximo,Próxima a deslizamento (≤300m)?
HOFE SEG SAO VICENTE,BEIRA MAR,"FREI GASPAR, 2587",11340000,-23.957548,-46.402516,Sim,Média,1901,Ponto 5,Não
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES SV,BOA VISTA,"ONZE DE JUNHO, 291",11320160,-23.971685,-46.372754,Sim,Baixa,484.6,Edifício Solaris,Não
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES II SV,BOA VISTA,"RANGEL PESTANA, 209",11320120,-23.96946,-46.372218,Sim,Baixa,232.5,Edifício Solaris,Sim
IACS PRESIDENTE WILSON SAO VICENTE,BOA VISTA,"AVENIDA PRESIDENTE WILSON, 456",11320001,-23.967739,-46.348186,Não,,1530.1,Ponto 3,Não
EVOLUIR CLINICA NEURODESENVOLVIMENTO 2 SV,BOA VISTA,"RANGEL PESTANA, 209",11320120,-23.970715,-46.37308,Sim,Baixa,385.8,Edifício Solaris,Não
ESF SA CATARINA SAO VICENTE,CATIAPOA,"RUA TRAVESSA DO PARQUE, S/N",11365330,-23.957364,-46.393161,Sim,Alta,1444.4,Ponto 5,Não
UNIDADE BASICA DE SAUDE CATIAPOA SAO VICENTE,CATIAPOA,"AV PERSIO DE QUEIROZ FILHO, S/N",11370300,-23.956717,-46.387331,Sim,Média,1489.7,Ponto 5,Não
APAE SAO VICENTE,CATIAPOA,"RUA FELICIANO MARCONDES DA SILVA, 205",11390220,-23.96242,-46.382,Sim,Média,1141.3,Ponto 5,Não
EDUARDO PALMIERI,CATIAPOA,"AV MARTINS FONTES, 480",11390200,-23.960685,-46.406714,Sim,Média,2017.9,Ponto 5,Não
CONSULTORIO ODONTOLOGICO MARILENE J ALVES SAO VICENTE,CATIAPOA,"RUA SALVADOR MALAQUIAS LEAL, 88",11390360,-23.956442,-46.386082,Sim,Alta,1544.6,Ponto 5,Não
RADICOM SAO VICENTE,CENTRO,"PADRE ANCHIETA, 224",11310040,-23.968215,-46.384985,Sim,Baixa,510.4,Ponto 5,Não
CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE,CENTRO,"RUA JOAO RAMALHO, 1150",11310050,-23.963294,-46.387726,Sim,Alta,764.9,Ponto 5,Não
CLINICA MULT IMAGEM SAO VICENTE,CENTRO,"RUA FREI GASPAR, 790",11310061,-23.964822,-46.386613,Sim,Alta,647.5,Ponto 5,Não
LEANDRO DE LIMA GIACCHERI SAO VICENTE,CENTRO,"RUA JACOB EMERICK, 365",11310071,-23.967809,-46.385047,Sim,Baixa,523.4,Ponto 5,Não
ALCYR NOGUEIRA LIMA SAO VICENTE,CENTRO,"RUA FREI GASPAR, 931",11310061,-23.964591,-46.388623,Sim,Alta,604.5,Ponto 5,Não
RMIC IMAGENS DE DIAGNOSTICOS SAO VICENTE,CENTRO,"RUA FREI GASPAR, 637",11310060,-23.966127,-46.385701,Sim,Média,583.4,Ponto 5,Não
CONSULTORIO DRA RENATA GUELLI SAO VICENTE,CENTRO,"RUA XV DE NOVEMBRO, 576",11310400,-23.963755,-46.385414,Sim,Alta,811.3,Ponto 5,Não
CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE,CENTRO,"RUA PADRE ANCHIETA, 462",11310040,-23.966523,-46.383891,Sim,Média,697,Ponto 5,Não
FARMACIA PAGUE MENOS SAO VICENTE,CENTRO,"AV PRESIDENTE WILSON, 706",11320000,-23.968245,-46.375403,Sim,Baixa,353.5,Edifício Solaris,Não
MONICA BATALHA PRADO SAO VICENTE,CENTRO,"AV PRESIDENTE WILSON, 1473",11320000,-23.965281,-46.382123,Sim,Média,923.1,Ponto 5,Não
TOXICOLOGICO SAO VICENTE,CENTRO,"BARAO DO RIO BRANCO, 94",11310000,-23.96644,-46.386095,Sim,Média,530.7,Ponto 5,Não
MAXI EXAMES,CENTRO,"R JACOB EMERICK, 365",11310070,-23.967176,-46.385877,Sim,Média,490.8,Ponto 5,Não
TAMARA MACHADO FRACALANZA BOCCATELLI,CENTRO,"AVENIDA QUINTINO BOCAIUVA, 405",11320010,-23.967568,-46.384685,Sim,Média,568.4,Ponto 5,Não
INSTITUTO ORTOPEDICO ITARARE SAO VICENTE,CENTRO,"AV PRESIDENTE WILSON, 1340",11320920,-23.965492,-46.380825,Sim,Alta,915.1,Edifício Solaris,Não
SERVICO DE PERICIAS MEDICAS SAO VICENTE,CENTRO,"RUA FREI GASPAR, 637",11310010,-23.966083,-46.38569,Sim,Média,587.7,Ponto 5,Não
CTA BETINHO SAO VICENTE,CENTRO,"AV QUINTINO BOCAIUVA, 1261",11320010,-23.967086,-46.387824,Sim,Alta,367.6,Ponto 5,Não
SECRETARIA DE SAUDE DE SAO VICENTE,CENTRO,"RUA PADRE ANCHIETA, 462",11310040,-23.966264,-46.383546,Sim,Média,742.1,Ponto 5,Não
COMPLEXO DE ESPECIALIDADES MEDICAS SAO VICENTE,CENTRO,"RUA XV DE NOVEMBRO, 176",11310400,-23.967048,-46.386938,Sim,Alta,423.2,Ponto 5,Não
LABORATORIO DR SERGIO TAVOLARO PEREIRA SAO VICENTE,CENTRO,"RUA JOAO RAMALHO, 825",11310050,-23.96495,-46.385529,Sim,Média,695,Ponto 5,Não
SAO PEDRO ANALISES CLINICAS SAO VICENTE,CENTRO,"RUA IPIRANGA, 4",11310420,,,Sem coordenadas,,,,Sem coordenadas
INSTITUTO OFTALMOLOGICO ACCIOLY DE GUSMAO SAO VICENTE,CENTRO,"RUA AMADOR BUENO DA RIBEIRA, 68",11320060,-23.966794,-46.377159,Sim,Média,522.4,Edifício Solaris,Não
CLINICA PADRE ANCHIETA SAO VICENTE,CENTRO,"AV PRESIDENTE WILSON, 1136",11320000,-23.965742,-46.379113,Sim,Média,739.5,Edifício Solaris,Não
CLINICA MEDICA DR JOSE MARTINS FONTES SAO VICENTE,CENTRO,"RUA IPIRANGA, S/N",11310420,,,Sem coordenadas,,,,Sem coordenadas
