"Tabela dinâmica por bairro - 
Mesmo bairro com nomes diferentes",,,"Tabela dinâmica por bairro - 
Nomes dos bairros corrigidos",,,Top 5 bairros com mais unidades de saúde,
Bairro,Quantidade de unidades de saúde,,Bairro,Quantidade de unidades de saúde,,Bairro,Quantidade de unidades de saúde
CENTRO,263,,CENTRO,263,,CENTRO,263
ITARARE,24,,ITARARE,24,,ITARARE,24
VILA VALENCA,11,,JARDIM RIO BRANCO,20,,JARDIM RIO BRANCO,20
JD RIO BRANCO,11,,VILA VALENCA,12,,VILA VALENCA,12
JARDIM RIO BRANCO,9,,JARDIM INDEPENDENCIA,9,,JARDIM INDEPENDENCIA,9
VILA SAO JORGE,8,,VILA SAO JORGE,8,,Grand Total,328
CIDADE NAUTICA,8,,VILA CASCATINHA,8,,,
VILA MARGARIDA,7,,CIDADE NAUTICA,8,,,
VILA CASCATINHA,7,,VILA MARGARIDA,7,,,
SAMARITA,6,,SAMARITA,6,,,
PARQUE SAO VICENTE,6,,PARQUE SAO VICENTE,6,,,
JD INDEPENDENCIA,6,,HUMAITA,5,,,
HUMAITA,5,,GONZAGUINHA,5,,,
GONZAGUINHA,5,,CATIAPOA,5,,,
CATIAPOA,5,,VILA VOTURUA,4,,,
VILA VOTURUA,4,,BOA VISTA,4,,,
BOA VISTA,4,,PARQUE DAS BANDEIRAS,3,,,
PARQUE BITARU,3,,PARQUE BITARU,3,,,
JARDIM INDEPENDENCIA,3,,JARDIM GUASSU,3,,,
JOQUEI CLUBE,2,,JOQUEI CLUBE,2,,,
JD GUASSU,2,,JARDIM PARAISO,2,,,
ESPLANADA DOS BARREI,2,,JARDIM IRMA DOLORES,2,,,
VL VALENCA,1,,ESPLANADA DOS BARREI,2,,,
VL NOSSA SRA DE FATI,1,,CIDADE NAUTICA III,2,,,
VL CASCATINHA,1,,VL NOSSA SRA DE FATI,1,,,
VILA SAO JOSE,1,,VILA SAO JOSE,1,,,
VILA NOSSA DO AMPARO,1,,VILA NOSSA DO AMPARO,1,,,
VILA MELO,1,,VILA MELO,1,,,
VILA EMA,1,,VILA EMA,1,,,
PRQ DAS BANDEIRAS,1,,PQ CONTINENTAL,1,,,
PQ DAS BANDEIRAS,1,,PQ BITARU,1,,,
PQ CONTINENTAL,1,,PONTE NOVA,1,,,
PQ BITARU,1,,POMPEBA,1,,,
PONTE NOVA,1,,JARDIM RIO NEGRO,1,,,
POMPEBA,1,,JAPUI,1,,,
PARQUE DAS BANDEIRAS,1,,CONJUNTO RESIDENCIAL,1,,,
NAUTICA III,1,,CJTO HUMAITA,1,,,
JD PARAISO,1,,BEIRA MAR,1,,,
JD IRMA DOLORES,1,,Grand Total,427,,,
JARDIM RIO NEGRO,1,,,,,,
JARDIM PARAISO,1,,,,,,
JARDIM IRMA DOLORES,1,,,,,,
JARDIM GUASSU,1,,,,,,
JAPUI,1,,,,,,
CONJUNTO RESIDENCIAL,1,,,,,,
CJTO HUMAITA,1,,,,,,
CIDADE NAUTICA III,1,,,,,,
BEIRA MAR,1,,,,,,
Grand Total,427,,,,,,
