CD_SETOR,SITUACAO,CD_SIT,CD_TIPO,AREA_KM2,NM_REGIAO,NM_UF,NM_MUN,CD_DIST,NM_DIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,CD_FCU,NM_FCU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,NM_CONCURB,field_2,field_5,pop_branco,pop_negros
355100905000180,Urbana,1,0,"0,05163818631",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,307,347,307,347
355100905000181,Urbana,1,0,"0,07305568718",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,493,384,493,384
355100905000183,Urbana,1,0,"0,06950203612",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,336,280,336,280
355100905000184,Urbana,1,0,"0,03448484178",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,287,333,287,333
355100905000186,Urbana,1,0,"0,0532885784",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,205,138,205,138
355100905000187,Urbana,1,0,"0,04727936464",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,327,289,327,289
355100905000349,Urbana,1,0,"0,03776363902",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,183,256,183,256
355100905000350,Urbana,1,0,"0,03135679457",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,226,267,226,267
355100905000453,Urbana,1,0,"0,0251490025",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,200,186,200,186
355100905000454,Urbana,1,0,"0,009417030311",Sudeste,São Paulo,São Vicente,355100905,São Vicente,3551009015,Beira Mar,,,,,,,3501,São Paulo,Baixada Santista/SP,23,25,23,25
